Incident_Type,Statute_Type,Block_Address,Occurred_Datetime,Statute_Description
Disturbance,Penal Code,1900 CENTER ST,2024-02-23 17:30:00,THEFT ELDER/DEPENDANT ADULT (UNDER $950)
Burglary Auto,Penal Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-02-21 04:10:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,  CENTER ST  &    MARTIN LUTHER KING JR WAY,2024-02-20 02:45:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1900 CENTER ST,2024-02-15 07:00:00,BURGLARY OF AUTO
Fraud/Forgery,Penal Code,1900 CENTER ST,2024-02-10 01:00:00,THEFT BY FORGED/INVALID ACCESS CARD (OVER $400)
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-02-09 18:44:00,BATTERY ON PERSON
Burglary Auto,Penal Code,1900 CENTER ST,2024-02-05 04:40:00,BURGLARY OF AUTO
Vehicle Stolen,Vehicle Code,MARTIN LUTHER KING JR WAY  &  CENTER ST,2024-02-04 15:30:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-01-23 20:45:00,BATTERY ON PERSON
Vandalism,Penal Code,1900 CENTER ST,2024-01-22 08:00:00,VANDALISM:DEFACE PROPERTY
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-01-17 13:25:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Assault/Battery Misdemeanor,Penal Code,1900 CENTER ST,2024-01-17 13:25:00,UNLAWFUL POSSESSION/USE TEAR GAS OR GAS WEAPON
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2024-01-09 16:00:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2024-01-09 08:00:00,PETTY THEFT FROM VEHICLE
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2024-01-05 06:45:00,PETTY THEFT (ALL OTHER)
Brandishing a weapon,Penal Code,1900 CENTER ST,2023-12-23 17:20:00,Exhibit deadly weapon other than firearm
Robbery,Penal Code,1900 CENTER ST,2023-12-22 04:55:00,Robbery
Burglary Auto,Penal Code,1900 CENTER ST,2023-12-22 04:00:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,1900 CENTER ST,2023-12-21 16:50:00,Petty Theft
Burglary Auto,Penal Code,1900 CENTER ST,2023-12-19 03:00:00,Burglary of a locked automobile
Burglary Auto,Penal Code,1900 CENTER ST,2023-12-11 03:30:00,Burglary of a locked automobile
Assault/Battery Felony,Penal Code,1900 CENTER ST,2023-12-08 05:10:00,Probation Violation : Misdemeanor
Theft Felony (over $950),Penal Code,900 FRESNO AVE,2023-01-27 08:00:00,Grand theft: money; labor; or property over $950
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-12-18 03:27:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-11-26 02:35:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-11-22 03:07:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Health and Safety,1800 SOLANO AVE,2024-11-22 00:14:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-11-22 00:14:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Health and Safety,1800 SOLANO AVE,2024-11-22 00:14:00,POSSESS NARCOTIC CONTROLLED SUBSTANCE
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2024-10-24 05:30:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-08-22 02:30:00,PETTY THEFT (ALL OTHER)
Fraud/Forgery,Penal Code,1800 SOLANO AVE,2024-06-11 21:15:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Fraud/Forgery,Penal Code,1800 SOLANO AVE,2024-06-11 21:15:00,THEFT ELDER/DEPENDANT ADULT (UNDER $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-05-17 04:05:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-05-01 18:45:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-03-11 05:15:00,PETTY THEFT SHOPLIFTING
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2024-03-03 06:47:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2024-02-12 17:30:00,SHOPLIFTING (LESS THAN $950)
Assault/Battery Felony,Penal Code,1800 SOLANO AVE,2024-02-03 06:00:00,"ASSAULT WITH ACID, CAUSTIC CHEMICAL, ETC"
Burglary Auto,Penal Code,1800 MARIN AVE,2024-01-27 02:00:00,BURGLARY OF AUTO
Burglary Auto,Penal Code,1800 MARIN AVE,2024-01-27 02:00:00,PETTY THEFT (ALL OTHER)
Assault/Battery Felony,Penal Code,1800 SOLANO AVE,2024-01-07 10:15:00,"ASSAULT WITH ACID, CAUSTIC CHEMICAL, ETC"
Assault/Battery Felony,Penal Code,1800 SOLANO AVE,2024-01-07 10:15:00,ASSAULT
Assault/Battery Felony,Penal Code,1800 SOLANO AVE,2024-01-01 07:00:00,Assault with deadly weapon other than a firearm
Assault/Battery Felony,Penal Code,1800 SOLANO AVE,2024-01-01 07:00:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2023-12-21 08:30:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Narcotics Violation,Penal Code,1800 SOLANO AVE,2023-12-09 22:58:00,Disorderly conduct:  Intoxication of drug and/or alcohol
Narcotics Violation,Health and Safety,1800 SOLANO AVE,2023-12-09 22:58:00,Possess narcotics paraphernalia
Narcotics Violation,Health and Safety,1800 SOLANO AVE,2023-12-09 22:58:00,Possession of controlled substances
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2023-12-03 10:20:00,DISCHARGE BB DEVICE IN GROSSLY NEGLIGENT MANNER
Vehicle Stolen,Vehicle Code,1800 SOLANO AVE,2023-12-02 23:30:00,Take vehicle without owner's consent
Assault/Battery Misdemeanor,Penal Code,1800 SOLANO AVE,2023-11-11 09:30:00,ASSAULT WITH CAUSTIC CHEMICAL/ETC
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-10-12 04:20:00,Petty Theft
Gun/Weapon,Penal Code,900 FRESNO AVE,2023-08-29 22:06:00,Carrying a loaded firearm in public
Gun/Weapon,Vehicle Code,900 FRESNO AVE,2023-08-29 22:06:00,Evade police officer; willful or wanton disregard 
Gun/Weapon,Penal Code,900 FRESNO AVE,2023-08-29 22:06:00,POSSESS STOLEN VEHICLE/VESSEL/ETC
Gun/Weapon,Penal Code,900 FRESNO AVE,2023-08-29 22:06:00,Person carrying a concealed firearm
Gun/Weapon,Penal Code,900 FRESNO AVE,2023-08-29 22:06:00,Obtain credit using another identification
Gun/Weapon,Penal Code,900 FRESNO AVE,2023-08-29 22:06:00,Obstruct/resist peace officer/emergency personnel
Robbery,Penal Code,1800 SOLANO AVE,2023-08-12 04:07:00,Robbery
Theft Misdemeanor (Under $950),Penal Code,900 FRESNO AVE,2023-08-05 16:50:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-07-20 20:42:00,Petty Theft
Vehicle Stolen,Vehicle Code,900 FRESNO AVE,2023-07-20 10:10:00,Take vehicle without owner's consent
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-07-12 00:06:00,Petty Theft
Burglary Commercial,Penal Code,1800 SOLANO AVE,2023-06-07 05:30:00,Burglary
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-05-20 03:55:00,Petty Theft
Theft Felony (over $950),Penal Code,1800 SOLANO AVE,2023-05-16 01:30:00,Grand theft: money; labor; or property over $950
Theft from Auto,Penal Code,1800 SOLANO AVE,2023-03-24 23:27:00,Petty Theft
Theft from Auto,Penal Code,1800 SOLANO AVE,2023-03-24 23:27:00,Theft from elder or dependent adult (under $950)
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-02-18 11:22:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-02-16 18:38:00,Petty Theft
Burglary Commercial,Penal Code,1800 SOLANO AVE,2023-02-10 23:31:00,Burglary
Theft Misdemeanor (Under $950),Penal Code,1800 SOLANO AVE,2023-02-03 03:38:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,1000   GILMAN ST,2025-02-15 22:50:00,PETTY THEFT (ALL OTHER)
Identity Theft,Penal Code,1800 CHANNING WAY,2024-04-08 21:45:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Identity Theft,Penal Code,1800 CHANNING WAY,2024-04-08 21:45:00,GRAND THEFT (ALL OTHER)
Vandalism,Vehicle Code,1800 CHANNING WAY,2023-07-05 07:00:00,Tamper with vehicle
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-13 03:14:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-06 16:20:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-04 01:58:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-01 17:16:00,Shoplifting: FELONY THEFT WITH 2 PRIORS
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-01 17:16:00,PROBATION VIOLATION: REARREST/REVOKE
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-01-17 02:50:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-01-06 02:47:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Health and Safety,1000 GILMAN ST,2024-12-26 20:04:00,POSSESS UNLAWFUL PARAPHERNALIA
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-12-26 20:04:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-12-21 04:15:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000   GILMAN ST,2024-12-18 00:40:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-12-08 20:44:00,PETTY THEFT (ALL OTHER)
Vehicle Code Violation,Vehicle Code,HASTE ST  &  SHATTUCK AVE,2025-02-02 03:58:00,DUI ALCOHOL
Vehicle Code Violation,Penal Code,HASTE ST  &  SHATTUCK AVE,2024-11-17 16:30:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Disturbance,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-10-29 01:46:00,DISORDERLY CONDUCT:SOLICIT LEWD ACT
Assault/Battery Misdemeanor,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-10-28 17:00:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-09-07 16:40:00,OBSTRUCT/RESIST EXECUTIVE OFFICER (AGGRAVATED)
Assault/Battery Misdemeanor,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-09-07 16:40:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-09-07 16:40:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Assault/Battery Misdemeanor,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-09-07 16:40:00,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH
Assault/Battery Misdemeanor,Penal Code,2400 SHATTUCK AVE,2024-08-21 16:06:00,BATTERY ON PERSON
Burglary Auto,Penal Code,2400   SHATTUCK AVE,2024-07-26 14:50:00,BURGLARY OF AUTO
Brandishing a weapon,Penal Code,2400 SHATTUCK AVE,2024-07-24 19:05:00,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM
Fraud/Forgery,Penal Code,SHATTUCK AVE  &  HASTE ST,2024-04-20 05:00:00,FELONY-THEFT BY USE OF ACCESS CARD INFORMATION
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Burglary
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Use others ID with intent defraud with prior conviction
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,CONSPIRACY:COMMIT CRIME
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Obtain credit using another identification
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Knowingly use personal identifying info to commit fraud
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Convey or sell personal ID or info with intent to defraud
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Receive known stolen property (over $950)
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-03-03 00:09:00,Possess burglary tools
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-01-11 01:20:00,Grand theft: money; labor; or property over $950
Burglary Commercial,Penal Code,2400 SHATTUCK AVE,2023-01-11 01:20:00,Burglary
Assault/Battery Felony,Penal Code,HASTE ST  &  SHATTUCK AVE,2023-01-01 10:00:00,Battery with serious bodily injury
Vehicle Stolen,Vehicle Code,1000 GILMAN ST,2024-11-27 04:35:00,TAKE VEHICLE W/O OWNER'S CONSENT/VEHICLE THEFT
Fraud/Forgery,Penal Code,1000 GILMAN ST,2024-11-07 19:00:00,GET CREDIT/ETC OTHER'S ID BY IDENTITY THEFT 
Fraud/Forgery,Penal Code,1000 GILMAN ST,2024-11-07 19:00:00,THEFT ELDER/DEPENDANT ADULT (OVER $950)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-11-06 01:03:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-10-25 23:20:00,ASSAULT W DEADLY WEAPON:NOT F/ARM
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-10-25 23:20:00,PETTY THEFT (ALL OTHER)
Burglary Auto,Vehicle Code,1200 10TH ST,2024-10-16 03:45:00,Tamper with vehicle
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-10-01 19:00:00,PETTY THEFT SHOPLIFTING
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-10-01 19:00:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-09-26 00:49:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-09-25 02:00:00,SHOPLIFTING (LESS THAN $950)
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-09-06 04:05:00,ASSAULT W DEADLY WEAPON:NOT F/ARM
Theft Misdemeanor (Under $950),Penal Code,1000   GILMAN ST,2024-09-02 21:00:00,PETTY THEFT (ALL OTHER)
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-08-29 22:30:00,GRAND THEFT (ALL OTHER)
Disturbance,Penal Code,10TH ST  &  HARRISON ST,2024-08-29 20:40:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-08-22 23:05:00,GRAND THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-08-14 18:23:00,PETTY THEFT SHOPLIFTING
Disturbance,Penal Code,1000 GILMAN ST,2024-07-14 23:35:00,TRESPASS:REFUSE TO LEAVE PROPERTY
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-07-09 04:31:00,PETTY THEFT SHOPLIFTING
Robbery,Penal Code,1000 GILMAN ST,2024-07-06 16:00:00,PROBATION VIOLATION: REARREST/REVOKE
Robbery,Penal Code,1000 GILMAN ST,2024-07-06 16:00:00,ROBBERY
Robbery,Penal Code,1000 GILMAN ST,2024-07-06 16:00:00,TRESPASS: OBSTRUCT BUSINESS OPERATIONS/ETC
Robbery,Penal Code,1000 GILMAN ST,2024-07-06 16:00:00,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-06-09 04:15:00,PROBATION VIOLATION: REARREST/REVOKE
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-06-09 04:15:00,GRAND THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-06-05 18:50:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-06-05 18:50:00,PROBATION VIOLATION: REARREST/REVOKE
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-06-02 01:15:00,GRAND THEFT SHOPLIFTING
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-05-23 00:18:00,BATTERY ON PERSON
Assault/Battery Misdemeanor,Health and Safety,1000 GILMAN ST,2024-05-23 00:18:00,POSSESS CONTROLLED SUBSTANCE
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-05-21 02:05:00,GRAND THEFT SHOPLIFTING
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-05-08 23:20:00,BATTERY ON PERSON
Fraud/Forgery,Penal Code,1000 GILMAN ST,2024-04-17 13:00:00,THEFT BY FORGED/INVALID ACCESS CARD (UNDER $400)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-04-08 19:00:00,PETTY THEFT SHOPLIFTING
Vandalism,Penal Code,1000 GILMAN ST,2024-03-19 02:02:00,VANDALISM:DEFACE PROPERTY
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2024-03-14 22:30:00,GRAND THEFT (ALL OTHER)
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-03-13 18:40:00,PETTY THEFT (ALL OTHER)
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-03-13 18:40:00,BATTERY ON PERSON
Theft from Auto,Penal Code,1000 GILMAN ST,2024-03-03 03:56:00,GRAND THEFT FROM VEHICLE
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-02-26 19:29:00,PETTY THEFT SHOPLIFTING
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2024-02-19 22:00:00,BATTERY ON PERSON
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-01-29 19:00:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-01-28 23:00:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-01-24 03:30:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2024-01-11 06:02:00,PETTY THEFT SHOPLIFTING
Burglary Auto,Penal Code,1000 GILMAN ST,2023-12-23 20:15:00,Burglary of a locked automobile
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2023-11-27 19:20:00,Battery with bodily injury
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2023-11-27 19:20:00,TRESPASS:REFUSE TO LEAVE PROPERTY:OWNER REQUEST
Assault/Battery Felony,Penal Code,1000 GILMAN ST,2023-11-22 03:23:00,Assault with deadly weapon other than a firearm
Assault/Battery Felony,Vehicle Code,1000 GILMAN ST,2023-11-22 03:23:00,Tamper with vehicle
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-11-20 19:00:00,Petty Theft
Narcotics Violation,Health and Safety,1000 GILMAN ST,2023-11-13 04:49:00,Possess narcotics paraphernalia
Narcotics Violation,Health and Safety,1000 GILMAN ST,2023-11-13 04:49:00,Possession of narcotic controlled substance
Burglary Auto,Penal Code,1000 GILMAN ST,2023-11-03 22:50:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-10-21 17:35:00,Enter a commercial building during open hours and steal less than $950. Shoplift
Burglary Auto,Penal Code,1000 GILMAN ST,2023-10-11 07:00:00,Burglary of a locked automobile
Disturbance,Penal Code,1000 GILMAN ST,2023-10-09 19:43:00,Indecent exposure/illegally enter occupied dwelling
Vehicle Stolen,Penal Code,1000 GILMAN ST,2023-09-28 23:49:00,Grand theft: money; labor; or property over $950
Robbery,Penal Code,1200 10TH ST,2023-09-28 17:53:00,Possession of metal knuckles
Robbery,Penal Code,1200 10TH ST,2023-09-28 17:53:00,Robbery
Vehicle Stolen,Penal Code,1000 GILMAN ST,2023-08-02 03:45:00,Grand theft: money; labor; or property over $950
Vehicle Stolen,Vehicle Code,1000 GILMAN ST,2023-08-02 03:45:00,Take vehicle without owner's consent
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-07-28 01:40:00,Petty Theft
Theft Felony (over $950),Penal Code,1000 GILMAN ST,2023-06-29 20:00:00,Grand theft: money; labor; or property over $950
Burglary Auto,Penal Code,1000 GILMAN ST,2023-06-20 03:15:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-06-06 17:58:00,Petty Theft
Vandalism,Penal Code,1000 GILMAN ST,2023-06-04 21:30:00,Vandalism:  Deface property
Vehicle Stolen,Vehicle Code,1000 GILMAN ST,2023-06-04 21:00:00,Take vehicle without owner's consent
Vehicle Code Violation,Vehicle Code,1000 GILMAN ST,2023-06-03 20:00:00,Tamper with vehicle
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-05-26 21:10:00,Exhibit deadly weapon other than firearm
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-05-26 21:10:00,Petty Theft
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-05-03 02:45:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2023-05-02 23:30:00,Cause harm or death of elder or dependent adult
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2023-05-02 23:30:00,Petty Theft
Assault/Battery Misdemeanor,Penal Code,1000 GILMAN ST,2023-05-02 23:30:00,Battery with bodily injury
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-04-20 02:05:00,Petty Theft
Fraud/Forgery,Penal Code,1000 GILMAN ST,2023-04-15 23:30:00,MAKE/PASS FICTITIOUS CHECK
Robbery,Penal Code,1000 GILMAN ST,2023-03-28 19:50:00,Robbery
Vehicle Recovered,Vehicle Code,1200 10TH ST,2023-03-02 00:42:00,Hit & run property damage: locate/etc owner required
Vehicle Recovered,Vehicle Code,1200 10TH ST,2023-03-02 00:42:00,Hit and run resulting in death or injury
Vehicle Recovered,Vehicle Code,1200 10TH ST,2023-03-02 00:42:00,Take vehicle without owner's consent
Vehicle Recovered,Vehicle Code,1200 10TH ST,2023-03-02 00:42:00,Evade police officer; willful or wanton disregard 
Vehicle Code Violation,Vehicle Code,1000 GILMAN ST,2023-02-16 20:00:00,Tamper with vehicle
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-02-01 01:49:00,Petty Theft
Theft from Auto,Penal Code,1000 GILMAN ST,2023-01-18 17:55:00,Burglary of a locked automobile
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2023-01-06 17:12:00,Petty Theft
Disturbance,Health and Safety,1200 10TH ST,2025-04-04 05:20:00,POSSESS CONTROLLED SUBSTANCE
Disturbance,Penal Code,1200 10TH ST,2025-04-04 05:20:00,THREATEN CRIME WITH INTENT TO TERRORIZE
Disturbance,Health and Safety,1200 10TH ST,2025-04-04 05:20:00,POSSESS UNLAWFUL PARAPHERNALIA
Vandalism,Penal Code,1000 GILMAN ST,2025-03-17 00:00:00,VANDALISM:DEFACE PROPERTY
Burglary Auto,Penal Code,1000 GILMAN ST,2025-03-10 18:25:00,BURGLARY OF AUTO
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-04 21:02:00,CONTEMPT OF COURT: DISOBEY COURT ORDER
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-04 21:02:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-04 21:02:00,PETTY THEFT OF PROPERTY FROM BUILDING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-02 20:00:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-02 20:00:00,SHOPLIFTING (LESS THAN $950)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-03-02 00:21:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000   GILMAN ST,2025-03-01 04:45:00,PETTY THEFT (ALL OTHER)
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-28 21:00:00,PETTY THEFT SHOPLIFTING
Theft Misdemeanor (Under $950),Penal Code,1000 GILMAN ST,2025-02-19 02:35:00,PETTY THEFT (ALL OTHER)
